first_name,last_name,doi,putcode,source,type,journal,volume,number,pages,issn,publisher,title,publication_year,romeo_colour,url_for_pdf,times_cited,authors
Marc,Amyot,10.1016/j.foodcont.2019.04.027,56803604,Scopus - Elsevier,journal-article,Food Control,,,,0956-7135,Elsevier BV,Occurrence of pesticides in fruits and vegetables from organic and conventional agriculture by QuEChERS extraction liquid chromatography tandem mass spectrometry,2019,green,,,Juan Manuel Montiel-León*Sung Vo Duy*Gabriel Munoz*Marc-André Verner*Mohammed Y. Hendawi*Hector Moya*Marc Amyot*Sébastien Sauvé
Marc,Amyot,10.1021/acsomega.9b01238,60562870,Scopus - Elsevier,journal-article,ACS Omega,,,,2470-1343,American Chemical Society (ACS),"Toxicity and Subcellular Fractionation of Yttrium in Three Freshwater Organisms: Daphnia magna, Chironomus riparius, and Oncorhynchus mykiss",2019,blue,,,Pierre-Yves Cardon*Gaëlle Triffault-Bouchet*Antoine Caron*Maikel Rosabal*Claude Fortin*Marc Amyot
Marc,Amyot,10.7717/peerj.7389,60090925,Scopus - Elsevier,journal-article,PeerJ,,,,2167-8359,PeerJ,Bioremediation of engine-oil contaminated soil using local residual organic matter,2019,green,,,Kawina Robichaud*Miriam Lebeau*Sylvain Martineau*Marc Amyot
Marc,Amyot,10.1016/j.scitotenv.2019.03.447,55870955,Scopus - Elsevier,journal-article,The Science of The Total Environment,,,,0048-9697,Elsevier BV,"An ecological microsystem to treat waste oil contaminated soil: Using phytoremediation assisted by fungi and local compost, on a mixed-contaminant site, in a cold climate",2019,green,,,Kawina Robichaud*Katherine Stewart*Michel Labrecque*Mohamed Hijri*Jensen Cherewyk*Marc Amyot
Marc,Amyot,10.1016/j.scitotenv.2019.04.226,56543548,Scopus - Elsevier,journal-article,The Science of The Total Environment,,,,0048-9697,Elsevier BV,The fish or the egg: Maternal transfer and subcellular partitioning of mercury and selenium in Yellow Perch (Perca flavescens),2019,green,,1,Melissa Khadra*Antoine Caron*Dolors Planas*Dominic E. Ponton*Maikel Rosabal*Marc Amyot
Marc,Amyot,10.1029/2018JG004896,57236998,Scopus - Elsevier,journal-article,Journal of Geophysical Research Biogeosciences,,,,2169-8953,American Geophysical Union (AGU),Global Meta‐Analysis on the Relationship Between Mercury and Dissolved Organic Carbon in Freshwater Environments,2019,green,,,Raphael A. Lavoie*Marc Amyot*Jean‐François Lapierre
Marc,Amyot,10.1016/j.scitotenv.2019.03.228,55356334,Scopus - Elsevier,journal-article,The Science of The Total Environment,,,,0048-9697,Elsevier BV,"Quality survey and spatiotemporal variations of atrazine and desethylatrazine in drinking water in Quebec, Canada",2019,green,,4,Juan Manuel Montiel-León*Sung Vo Duy*Gabriel Munoz*Maryse F. Bouchard*Marc Amyot*Sébastien Sauvé
Marc,Amyot,10.7287/peerj.preprints.27696,56941893,Scopus - Elsevier,other,,,,,,PeerJ,Bioremediation of engine-oil contaminated soil using local residual organic matter,2019,,https://peerj.com/preprints/27696.pdf,,Kawina Robichaud*Miriam Lebeau*Sylvain Martineau*Marc Amyot
Marc,Amyot,10.1016/j.chemosphere.2018.12.108,51692261,Scopus - Elsevier,journal-article,Chemosphere,,,,0045-6535,Elsevier BV,"Local fungi, willow and municipal compost effectively remediate petroleum-contaminated soil in the Canadian North",2019,green,,2,Kawina Robichaud*Catherine Girard*Dimitri Dagher*Katherine Stewart*Michel Labrecque*Mohamed Hijri*Marc Amyot
Marc,Amyot,10.1021/acs.est.8b05547,52718308,Scopus - Elsevier,journal-article,Environmental Science & Technology,,,,0013-936X,American Chemical Society (ACS),Environmental Drivers of Rare Earth Element Bioaccumulation in Freshwater Zooplankton,2019,white,,1,Gwyneth A. MacMillan*Meredith G. Clayden*John Chételat*Murray C. Richardson*Dominic E. Ponton*Tania Perron*Marc Amyot
Marc,Amyot,10.1038/s41598-018-24938-3,43928854,Scopus - Elsevier,journal-article,Scientific Reports,,,,2045-2322,Springer Science and Business Media LLC,Mercury transport and human exposure from global marine fisheries,2018,green,,4,Raphael A. Lavoie*Ariane Bouffard*Roxane Maranger*Marc Amyot
Marc,Amyot,10.1002/lom3.10265,47693193,Scopus - Elsevier,journal-article,Limnology and Oceanography Methods,,,,1541-5856,Wiley,Enzymatic validation of species-specific protocols for metal subcellular fractionation in freshwater animals,2018,yellow,,,Pierre-Yves Cardon*Antoine Caron*Maikel Rosabal*Claude Fortin*Marc Amyot
Marc,Amyot,10.1016/j.scitotenv.2017.10.236,39927773,Scopus - Elsevier,journal-article,The Science of The Total Environment,,,,0048-9697,Elsevier BV,Cooking and co-ingested polyphenols reduce in vitro methylmercury bioaccessibility from fish and may alter exposure in humans,2018,green,,8,Catherine Girard*Tania Charette*Maxime Leclerc*B. Jesse Shapiro*Marc Amyot
Marc,Amyot,10.1021/acs.est.7b04180,39571869,Scopus - Elsevier,journal-article,Environmental Science & Technology,,,,0013-936X,American Chemical Society (ACS),Ratio of Methylmercury to Dissolved Organic Carbon in Water Explains Methylmercury Bioaccumulation Across a Latitudinal Gradient from North-Temperate to Arctic Lakes,2018,white,,5,John Chételat*Murray C. Richardson*Gwyneth A. MacMillan*Marc Amyot*Alexandre J. Poulain
Marc,Amyot,10.1139/facets-2018-0019,51318779,Scopus - Elsevier,journal-article,FACETS,,,,2371-1671,Canadian Science Publishing,Age matters: Submersion period shapes community composition of lake biofilms under glyphosate stress,2018,gray,https://www.facetsjournal.com/doi/pdf/10.1139/facets-2018-0019,2,"Khadra, Melissa*Planas, Dolors*Girard, Catherine*Amyot, Marc"
Marc,Amyot,10.1016/j.atmosenv.2018.05.028,48196705,Scopus - Elsevier,journal-article,Atmospheric Environment,,,,1352-2310,Elsevier BV,Do snow and ice alter urban air quality?,2018,green,,1,"Ariya, Parisa A.*Dastoor, Ashu*Nazarenko, Yevgen*Amyot, Marc"
Marc,Amyot,10.1002/lom3.10207,36922411,Scopus - Elsevier,journal-article,Limnology and Oceanography Methods,15,10,875--886,1541-5856,Wiley,Freshwater sample preservation for the analysis of dissolved low molecular mass thiols,2017,yellow,,1,Maxime Leclerc*Dolors Planas*Marc Amyot
Marc,Amyot,10.1101/174870,35912562,Scopus - Elsevier,other,,,,,,Cold Spring Harbor Laboratory,"Rare earth elements (REE) in freshwater, marine, and terrestrial ecosystems in the eastern Canadian Arctic",2017,,https://www.biorxiv.org/content/biorxiv/early/2017/08/14/174870.full.pdf,,Gwyneth Anne MacMillan*John Chételat*Joel Heath*Raymond Mickpegak*Marc Amyot
Marc,Amyot,10.1021/acs.est.7b00739,32444255,Scopus - Elsevier,journal-article,Environmental Science & Technology,51,11,6009--6017,0013-936X,American Chemical Society (ACS),Fate and Trophic Transfer of Rare Earth Elements in Temperate Lake Food Webs,2017,white,,14,Marc Amyot*Meredith G. Clayden*Gwyneth A. MacMillan*Tania Perron*Alexandre Arscott-Gauvin
