prenom,nom,doi,putcode,type,revue,issn,editeur,titre,annee
Marc,Amyot,10.1016/j.foodcont.2019.04.027,56803604,JOURNAL_ARTICLE,Food Control,0956-7135,Elsevier BV,Occurrence of pesticides in fruits and vegetables from organic and conventional agriculture by QuEChERS extraction liquid chromatography tandem mass spectrometry,2019
Marc,Amyot,10.1016/j.scitotenv.2019.03.447,55870955,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,"An ecological microsystem to treat waste oil contaminated soil: Using phytoremediation assisted by fungi and local compost, on a mixed-contaminant site, in a cold climate",2019
Marc,Amyot,10.1016/j.scitotenv.2019.04.226,56543548,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,The fish or the egg: Maternal transfer and subcellular partitioning of mercury and selenium in Yellow Perch (Perca flavescens),2019
Marc,Amyot,10.1016/j.scitotenv.2019.03.228,55356334,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,"Quality survey and spatiotemporal variations of atrazine and desethylatrazine in drinking water in Quebec, Canada",2019
Marc,Amyot,10.1029/2018JG004896,57236998,JOURNAL_ARTICLE,Journal of Geophysical Research Biogeosciences,2169-8953,American Geophysical Union (AGU),Global Meta‐analysis on the Relationship between Mercury and Dissolved Organic Carbon in Freshwater Environments,2019
Marc,Amyot,,56941892,OTHER,,,,Bioremediation of engine-oil contaminated soil using local residual organic matter,2019
Marc,Amyot,,56941893,OTHER,,,,Bioremediation of engine-oil contaminated soil using local residual organic matter,2019
Marc,Amyot,10.1016/j.chemosphere.2018.12.108,51692261,JOURNAL_ARTICLE,Chemosphere,0045-6535,Elsevier BV,"Local fungi, willow and municipal compost effectively remediate petroleum-contaminated soil in the Canadian North",2019
Marc,Amyot,10.1021/acs.est.8b05547,52718308,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Environmental Drivers of Rare Earth Element Bioaccumulation in Freshwater Zooplankton,2019
Marc,Amyot,10.1038/s41598-018-24938-3,43928854,JOURNAL_ARTICLE,Scientific Reports,2045-2322,Springer Science and Business Media LLC,Mercury transport and human exposure from global marine fisheries,2018
Marc,Amyot,10.1002/lom3.10265,47693193,JOURNAL_ARTICLE,Limnology and Oceanography Methods,1541-5856,Wiley,Enzymatic validation of species-specific protocols for metal subcellular fractionation in freshwater animals,2018
Marc,Amyot,10.1016/j.scitotenv.2017.10.236,39927773,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Cooking and co-ingested polyphenols reduce in vitro methylmercury bioaccessibility from fish and may alter exposure in humans,2018
Marc,Amyot,10.1021/acs.est.7b04180,39571869,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Ratio of Methylmercury to Dissolved Organic Carbon in Water Explains Methylmercury Bioaccumulation Across a Latitudinal Gradient from North-Temperate to Arctic Lakes,2018
Marc,Amyot,10.1139/facets-2018-0019,51318779,JOURNAL_ARTICLE,FACETS,2371-1671,Canadian Science Publishing,Age matters: Submersion period shapes community composition of lake biofilms under glyphosate stress,2018
Marc,Amyot,10.1016/j.atmosenv.2018.05.028,48196705,JOURNAL_ARTICLE,Atmospheric Environment,1352-2310,Elsevier BV,Do snow and ice alter urban air quality?,2018
Marc,Amyot,10.1002/lom3.10207,36922411,JOURNAL_ARTICLE,Limnology and Oceanography Methods,1541-5856,Wiley,Freshwater sample preservation for the analysis of dissolved low molecular mass thiols,2017
Marc,Amyot,,35912562,OTHER,,,,"Rare earth elements (REE) in freshwater, marine, and terrestrial ecosystems in the eastern Canadian Arctic",2017
Marc,Amyot,10.1021/acs.est.7b00739,32444255,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Fate and Trophic Transfer of Rare Earth Elements in Temperate Lake Food Webs,2017
Marc,Amyot,10.1016/j.chemosphere.2016.10.047,36085689,JOURNAL_ARTICLE,Chemosphere,0045-6535,Elsevier BV,"Differential effects of plant root systems on nickel, copper and silver bioavailability in contaminated soil",2017
Marc,Amyot,10.1128/mSphere.00297-16,36085690,JOURNAL_ARTICLE,mSphere,2379-5042,American Society for Microbiology,Gut Microbiome of the Canadian Arctic Inuit,2017
Marc,Amyot,10.1039/C7EM00082K,36595736,JOURNAL_ARTICLE,Environmental Science Processes & Impacts,2050-7887,Royal Society of Chemistry (RSC),"Rare earth elements in freshwater, marine, and terrestrial ecosystems in the eastern Canadian Arctic",2017
Marc,Amyot,10.1016/j.envres.2016.06.030,36085691,JOURNAL_ARTICLE,Environmental Research,0013-9351,Elsevier BV,"Mercury, hydroquinone and clobetasol propionate in skin lightening products in West Africa and Canada",2016
Marc,Amyot,10.1021/acs.est.5b04921,36085692,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Photodemethylation of Methylmercury in Eastern Canadian Arctic Thaw Pond and Lake Ecosystems,2016
Marc,Amyot,10.1111/mec.13690,36085693,JOURNAL_ARTICLE,Molecular Ecology,0962-1083,Wiley,Receptors rather than signals change in expression in four physiological regulatory networks during evolutionary divergence in threespine stickleback,2016
Marc,Amyot,10.1021/acs.est.5b00763,19443971,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),High Methylmercury in Arctic and Subarctic Ponds is Related to Nutrient Levels in the Warming Eastern Canadian Arctic,2015
Marc,Amyot,10.1021/es505952x,19443917,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Relationship between Extracellular Low-Molecular-Weight Thiols and Mercury Species in Natural Lake Periphytic Biofilms,2015
Marc,Amyot,10.1021/cr500667e,19443919,JOURNAL_ARTICLE,Chemical Reviews,0009-2665,American Chemical Society (ACS),Mercury Physicochemical and Biogeochemical Transformation in the Atmosphere and at Atmospheric Interfaces: A Review and Future Directions,2015
Marc,Amyot,10.1371/journal.pone.0123048,16533208,JOURNAL_ARTICLE,PLoS ONE,1932-6203,Public Library of Science (PLoS),Bioaccumulation and Trophic Transfer of Mercury and Selenium in African Sub-Tropical Fluvial Reservoirs Food Webs (Burkina Faso),2015
Marc,Amyot,10.1016/j.scitotenv.2014.05.151,16533209,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in freshwater ecosystems of the Canadian Arctic: Recent advances on its cycling and fate,2015
Marc,Amyot,10.1016/j.scitotenv.2014.05.151,19444003,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in freshwater ecosystems of the Canadian Arctic: Recent advances on its cycling and fate,2015
Marc,Amyot,10.1016/j.scitotenv.2014.05.151,24231794,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in freshwater ecosystems of the Canadian Arctic: Recent advances on its cycling and fate,2015
Marc,Amyot,10.1016/j.scitotenv.2014.05.133,16533210,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in the marine environment of the Canadian Arctic: Review of recent findings,2015
Marc,Amyot,10.1016/j.scitotenv.2014.05.133,19443969,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in the marine environment of the Canadian Arctic: Review of recent findings,2015
Marc,Amyot,10.1016/j.scitotenv.2014.05.133,24231793,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,Mercury in the marine environment of the Canadian Arctic: Review of recent findings,2015
Marc,Amyot,10.1016/j.scitotenv.2015.01.040,16533212,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,"Mercury methylation and demethylation by periphyton biofilms and their host in a fluvial wetland of the St. Lawrence River (QC, Canada)",2015
Marc,Amyot,10.1016/j.scitotenv.2015.01.040,19443915,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,"Mercury methylation and demethylation by periphyton biofilms and their host in a fluvial wetland of the St. Lawrence River (QC, Canada)",2015
Marc,Amyot,10.1016/j.envpol.2014.11.007,16533214,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,"Spatio-temporal variations in biomass and mercury concentrations of epiphytic biofilms and their host in a large river wetland (Lake St. Pierre, Qc, Canada)",2015
Marc,Amyot,10.1016/j.envpol.2014.11.007,19443861,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,"Spatio-temporal variations in biomass and mercury concentrations of epiphytic biofilms and their host in a large river wetland (Lake St. Pierre, Qc, Canada)",2015
Marc,Amyot,10.1007/s00300-014-1561-3,19443807,JOURNAL_ARTICLE,Polar Biology,0722-4060,Springer Science and Business Media LLC,Ecological determinants of methylmercury bioaccumulation in benthic invertebrates of polar desert lakes,2014
Marc,Amyot,10.1021/es404839t,13214423,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Effects of Experimental Thermocline and Oxycline Deepening on Methylmercury Bioaccumulation in a Canadian Shield Lake,2014
Marc,Amyot,10.1007/s10646-013-1087-4,11260458,JOURNAL_ARTICLE,Ecotoxicology,0963-9292,Springer Science and Business Media LLC,An investigation of enhanced mercury bioaccumulation in fish from offshore feeding,2013
Marc,Amyot,10.1007/s10646-013-1087-4,13214424,JOURNAL_ARTICLE,Ecotoxicology,0963-9292,Springer Science and Business Media LLC,An investigation of enhanced mercury bioaccumulation in fish from offshore feeding,2013
Marc,Amyot,10.1016/j.scitotenv.2012.11.095,11260459,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,"Mercury, arsenic and selenium concentrations in water and fish from sub-Saharan semi-arid freshwater reservoirs (Burkina Faso)",2013
Marc,Amyot,10.1016/j.scitotenv.2012.11.095,13214425,JOURNAL_ARTICLE,The Science of The Total Environment,0048-9697,Elsevier BV,"Mercury, arsenic and selenium concentrations in water and fish from sub-Saharan semi-arid freshwater reservoirs (Burkina Faso)",2013
Marc,Amyot,10.1021/es300760e,5534431,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Divalent Base Cations Hamper Hg-II Uptake,2012
Marc,Amyot,10.1021/es300760e,11260461,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Divalent base cations hamper Hg II uptake,2012
Marc,Amyot,10.1016/j.envpol.2012.02.003,5534438,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,"Factors affecting methylmercury biomagnification by a widespread aquatic invertebrate predator, the phantom midge larvae Chaoborus",2012
Marc,Amyot,10.1016/j.envpol.2012.02.003,11260462,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,"Factors affecting methylmercury biomagnification by a widespread aquatic invertebrate predator, the phantom midge larvae Chaoborus",2012
Marc,Amyot,10.1111/j.1365-2427.2012.02793.x,5534486,JOURNAL_ARTICLE,Freshwater Biology,0046-5070,Wiley,"Shifts in elemental composition, methylmercury content and d15N ratio during growth of a High Arctic copepod",2012
Marc,Amyot,10.1111/j.1365-2427.2012.02793.x,11260463,JOURNAL_ARTICLE,Freshwater Biology,0046-5070,Wiley,"Shifts in elemental composition, methylmercury content and δ 15N ratio during growth of a High Arctic copepod",2012
Marc,Amyot,10.1071/EN11140,5534495,JOURNAL_ARTICLE,Environmental Chemistry,1448-2517,CSIRO Publishing,"The fate of mercury in Arctic terrestrial and aquatic ecosystems, a review",2012
Marc,Amyot,10.1071/EN11140,11260460,JOURNAL_ARTICLE,Environmental Chemistry,1448-2517,CSIRO Publishing,"The fate of mercury in Arctic terrestrial and aquatic ecosystems, a review",2012
Marc,Amyot,10.1071/en11140,19443975,JOURNAL_ARTICLE,Environmental Chemistry,1448-2517,CSIRO Publishing,"The fate of mercury in Arctic terrestrial and aquatic ecosystems, a review",2012
Marc,Amyot,10.1016/j.envres.2011.09.018,5534433,JOURNAL_ARTICLE,Environmental Research,0013-9351,Elsevier BV,Effects of various cooking methods and food components on bioaccessibility of mercury from fish,2011
Marc,Amyot,10.1016/j.envres.2011.09.018,11260465,JOURNAL_ARTICLE,Environmental Research,0013-9351,Elsevier BV,Effects of various cooking methods and food components on bioaccessibility of mercury from fish,2011
Marc,Amyot,10.1016/j.envpol.2010.09.034,5534445,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,Habitat-specific bioaccumulation of methylmercury in invertebrates of small mid-latitude lakes in North America,2011
Marc,Amyot,10.1016/j.envpol.2010.09.034,11260468,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,Habitat-specific bioaccumulation of methylmercury in invertebrates of small mid-latitude lakes in North America,2011
Marc,Amyot,10.1016/j.envpol.2010.09.034,13214431,JOURNAL_ARTICLE,Environmental Pollution,0269-7491,Elsevier BV,Habitat-specific bioaccumulation of methylmercury in invertebrates of small mid-latitude lakes in North America,2011
Marc,Amyot,10.1021/es2010072,5534457,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Methanogens: Principal Methylators of Mercury in Lake Periphyton,2011
Marc,Amyot,10.1021/es2010072,11260466,JOURNAL_ARTICLE,Environmental Science & Technology,0013-936X,American Chemical Society (ACS),Methanogens: Principal methylators of mercury in lake periphyton,2011
Marc,Amyot,,11260464,JOURNAL_ARTICLE,,,,Photoreactions of Mercury in Aquatic Systems,2011
Marc,Amyot,10.1071/EN10056,5534487,JOURNAL_ARTICLE,Environmental Chemistry,1448-2517,CSIRO Publishing,Snow - a photobiochemical exchange platform for volatile and semi-volatile organic compounds with the atmosphere,2011
